source_table,hub_code,columns,provenance
BJAZ_CLM_WG_TRANS_DTLS_HIST,HUB_CLAIM,CLAIM_ID,discovered
BJAZ_CTNGY_FF_DTLS_EXTN,HUB_POLICY,CONTRACT_ID,discovered
BJAZ_CTNGY_FF_DTLS_EXTN,HUB_PRODUCT,SCHEME_CODE,discovered
BJAZ_CTNGY_FF_DTLS_EXTN,HUB_DISTRIBUTION_CHANNEL,PARTNER_ID,discovered
BJAZ_CTNGY_GC_MEM_DATA,HUB_POLICY,POLICY_REF,discovered
BJAZ_CTNGY_GC_MEM_DATA,HUB_DISTRIBUTION_CHANNEL,PARTNER_ID,discovered
BJAZ_CTNGY_PA_MEM_DTLS,HUB_POLICY,CONTRACT_ID,discovered
BJAZ_CTNGY_PA_MEM_DTLS,HUB_PRODUCT,SCHEME_CODE,discovered
BJAZ_CTNGY_PA_MEM_DTLS,HUB_DISTRIBUTION_CHANNEL,PARTNER_ID,discovered
BJAZ_CTNGY_PA_MEM_DTLS,HUB_RISK_OBJECT,CONTRACT_ID+MEMBER_REF_NUMBER,confirmed
BJAZ_EWR_POL_DTLS,HUB_POLICY,CONTRACT_ID,discovered
BJAZ_EWR_POL_DTLS,HUB_POLICY,POLICY_REF,discovered
BJAZ_EWR_POL_DTLS,HUB_PARTY,EMP_CODE,discovered
BJAZ_EWR_POL_DTLS,HUB_PARTY,PART_ID,discovered
BJAZ_EWR_POL_DTLS,HUB_PARTY,PROSPECT_ID,discovered
BJAZ_EWR_POL_DTLS,HUB_PARTY,RM_CODE,discovered
BJAZ_EWR_POL_DTLS,HUB_PRODUCT,PRODUCT_4DIGIT_CODE,discovered
BJAZ_EWR_POL_DTLS,HUB_DISTRIBUTION_CHANNEL,BUSINESS_SOURCE,discovered
BJAZ_EWR_POL_DTLS,HUB_DISTRIBUTION_CHANNEL,MAIN_AGENT_CODE,discovered
BJAZ_EWR_POL_DTLS,HUB_ORG_UNIT,COMPANY_ORG_UNIT,discovered
BJAZ_EWR_POL_DTLS,HUB_ORG_UNIT,DEPARTMENT_CODE,discovered
BJAZ_EWR_POL_DTLS,HUB_ORG_UNIT,DEPT_CODE,discovered
BJAZ_EWR_POL_DTLS,HUB_QUOTE,QUOTE_REF_NO,discovered
